No,Student ID,Fullname,gender,DoB,Class
1,19127625,Nguyen Van Minh,0,20-02-2001,19CLC1
2,19127627,Tran Hoang Nhat,0,20-02-2002,19CLC1
3,19127629,Le Thi Anh,1,21-12-2001,19CLC1
4,19127631,Tran Anh Tu,1,21-2-2001,19CLC1
5,19127633,Le Van Tu,0,20-02-2001,19CLC1
6,19127635,Nguyen Van Tu,0,20-02-2001,19CLC1
7,19127637,Tran Thi Ngoc Anh,1,20-01-2001,19CLC1
8,19127639,Le Hoang Anh Thu,1,21-12-2001,19CLC1
9,19127641,Le Hoang Anh Khoi,0,20-02-2001,19CLC1
10,19127643,Nguyen Hoang Anh Phuc,0,20-02-2001,19CLC1
11,19127645,Le Tam Nhu,1,21-12-2001,19CLC1
12,19127647,Nguyen Tran Thien Toan,0,20-02-2001,19CLC1
13,19127649,Le Do Anh Duy,0,20-02-2001,19CLC1
14,19127651,Nguyen Ngoc Nhan,0,20-02-2001,19CLC1
15,19127653,Le Minh Huu,0,20-02-2001,19CLC1
16,19127655,Tran Van Lam,0,20-02-2001,19CLC1
17,19127657,Nguyen Tran Kim Tu,1,21-12-2001,19CLC1
18,19127659,Tran Ngoc Nhu,0,20-02-2001,19CLC1
19,19127661,Chau Van Duy,0,20-02-2001,19CLC1
20,19127663,Nguyen Hoang Bao,0,20-02-2001,19CLC1
